country,input,slope,se,n,region
ISR,EXERPRAC,-0.05379922893972713,0.0035602060720744586,5800,OECD (other)
ISR,ST297Q01JA,-0.3210378508176164,0.02532600705197742,5907,OECD (other)
ISR,ST297Q03JA,-0.16854981538999295,0.029764081842774775,5105,OECD (other)
ISR,ST297Q05JA,-0.35221594673537376,0.033938437964048954,5907,OECD (other)
ISR,ST297Q06JA,-0.21088135949614537,0.02670342255225988,5907,OECD (other)
ISR,ST297Q07JA,-0.45526304453461386,0.03233113398280799,5907,OECD (other)
ITA,hwk_h,-0.008650985722007313,0.007263249136688538,10080,OECD (other)
ITA,study_h,-0.0075757136071310655,0.0028496045991209373,10367,OECD (other)
ITA,EXERPRAC,-0.04121758794100872,0.002535192353704843,10366,OECD (other)
ITA,ST297Q01JA,-0.29741564830602074,0.01808736546218734,10287,OECD (other)
ITA,ST297Q03JA,-0.30210089515674776,0.022914204180504667,10287,OECD (other)
ITA,ST297Q05JA,-0.1975978102533113,0.025095840335116956,10287,OECD (other)
ITA,ST297Q06JA,-0.20989858398505987,0.022746299725600373,10287,OECD (other)
ITA,ST297Q07JA,-0.576955207471569,0.03302704632986286,10287,OECD (other)
JAM,hwk_h,-0.030546865757236558,0.008947755124821412,2784,Non-OECD
JAM,study_h,-0.017050196015395692,0.0037204860489029974,3260,Non-OECD
JAM,EXERPRAC,-0.03465499348444807,0.0031423511584873966,3229,Non-OECD
JAM,ST297Q01JA,-0.17648515180411473,0.028357182145524688,3451,Non-OECD
JAM,ST297Q03JA,0.0706854002927065,0.02754923630115289,3451,Non-OECD
JAM,ST297Q05JA,0.061145370480915034,0.02778986428556474,3451,Non-OECD
JAM,ST297Q06JA,-0.0044210281596596636,0.027450249666007554,3451,Non-OECD
JAM,ST297Q07JA,-0.10672066960018523,0.03361642208336221,3451,Non-OECD
JOR,hwk_h,-0.028371818670754972,0.005266718843942931,6372,Non-OECD
JOR,study_h,0.020170411640450345,0.002186207536514112,6879,Non-OECD
JOR,EXERPRAC,-0.008861617207986863,0.0019099807125142656,6886,Non-OECD
JOR,ST297Q01JA,-0.18327456740920742,0.013856030245670095,7284,Non-OECD
JOR,ST297Q03JA,-0.0572316858501414,0.013210544682908132,7284,Non-OECD
JOR,ST297Q05JA,-0.002861086292560525,0.013228841230877286,7284,Non-OECD
JOR,ST297Q06JA,-0.17372503164227202,0.014996096628483255,7284,Non-OECD
JOR,ST297Q07JA,-0.2164013988541774,0.015390202856406516,7284,Non-OECD
KAZ,hwk_h,0.012175952082918471,0.005313445665886786,19242,Non-OECD
KAZ,study_h,0.018192759596355787,0.0016900954325658904,19505,Non-OECD
KAZ,EXERPRAC,-0.026497699207119314,0.0014631970404043084,19508,Non-OECD
KAZ,ST297Q01JA,-0.2959806385000072,0.01115874786775209,19521,Non-OECD
KAZ,ST297Q03JA,-0.12206992213196839,0.010911183857006925,19521,Non-OECD
KAZ,ST297Q05JA,-0.06737581298996613,0.010831252729386998,19521,Non-OECD
KAZ,ST297Q06JA,-0.22420631296363006,0.012067530928491048,19521,Non-OECD
KAZ,ST297Q07JA,-0.23710731309377256,0.012557538081872106,19521,Non-OECD
KHM,hwk_h,-0.007049233882677494,0.008343314578892761,4777,Non-OECD
KHM,study_h,0.05451740685544676,0.003170306976065259,4895,Non-OECD
KHM,EXERPRAC,-0.0029615952002993266,0.0026892235289772324,4830,Non-OECD
KHM,ST297Q01JA,-0.24846982933281442,0.021425232965732132,5153,Non-OECD
KHM,ST297Q03JA,0.057133918526193525,0.025204269246841184,5153,Non-OECD
KHM,ST297Q05JA,0.11087553722476781,0.024350034034092756,5153,Non-OECD
KHM,ST297Q06JA,0.1092076665442143,0.02153794200577673,5153,Non-OECD
KHM,ST297Q07JA,0.08867952013823133,0.0217468339886472,5153,Non-OECD
KOR,hwk_h,0.18521545281590998,0.009383705752840057,6308,East Asia
KOR,study_h,0.0605893291998984,0.004266356428872338,6365,East Asia
KOR,EXERPRAC,-0.08007053370262267,0.003898708444621085,6364,East Asia
KOR,ST297Q01JA,-0.15232586095095046,0.03251514895311427,6358,East Asia
KOR,ST297Q03JA,-0.08646418702404716,0.03958020546041635,6358,East Asia
KOR,ST297Q05JA,0.06898227111168057,0.0433091821285845,6358,East Asia
KOR,ST297Q06JA,0.2855451065984236,0.026413446098997952,6358,East Asia
